id;reference;booking_reference;raised_by;raised_by_login;professional_ref;reason;status;raised_at;due_by;resolution;resolved_by;resolved_at;refund_minor;currency
18;than;chatter wetly even;PLATFORM;director over;fishery blah;pace;RESOLVED;2026-08-25T01:57:28;2026-08-25T18:46:44;debut finally lieu;beside knottily;2026-08-25T16:12:11;12131;que
19;verbally saw famously;during;PLATFORM;eek;unexpectedly;unabashedly dramatic furthermore;REJECTED;2026-08-25T07:47:55;2026-08-25T10:13:56;optimistically;courageously;2026-08-25T15:49:38;21130;to
20;that swanling minus;than unabashedly;CUSTOMER;yowza chasuble;frantically;regarding;UNDER_REVIEW;2026-08-25T00:56:46;2026-08-24T20:57:37;steeple although amidst;ad where on;2026-08-25T08:36:03;6108;exc
21;joy questionably hunger;pro swine;PLATFORM;by lox;tune-up frightfully seagull;unto;UNDER_REVIEW;2026-08-24T21:23:18;2026-08-25T16:55:44;garage neatly;suspiciously worriedly valuable;2026-08-25T14:00:36;16639;bla
22;taxicab;throughout unwieldy memorable;CUSTOMER;anti unripe wedge;tousle how and;tinted heartache yippee;REJECTED;2026-08-24T23:48:26;2026-08-24T22:01:30;sign illusion;yahoo deflect;2026-08-25T14:09:42;25068;def
23;since;mom behind as;PROFESSIONAL;not indeed;minus meanwhile;notwithstanding;RESOLVED;2026-08-25T19:27:04;2026-08-25T11:55:48;creator;unkempt amidst numb;2026-08-25T02:52:03;30241;acc
24;ack;profuse lovable;PROFESSIONAL;verbally;tense partridge;roughly sheepishly curse;RESOLVED;2026-08-25T19:48:28;2026-08-25T19:21:27;gracefully;clearly where;2026-08-25T15:47:26;7610;joy
25;yippee;knavishly;PLATFORM;off whereas yahoo;righteously round;lest;UNDER_REVIEW;2026-08-25T10:27:30;2026-08-25T00:28:05;duh maroon upsell;postbox partially oof;2026-08-25T06:45:45;31466;ant
26;reprimand for um;even um;PLATFORM;guacamole ack;if peppery;slipper ack consequently;OPEN;2026-08-25T02:05:02;2026-08-25T03:49:12;than;hydrocarbon old nervously;2026-08-25T14:41:25;11616;fre
27;lest;by ice-cream uncork;CUSTOMER;meh;jovially ugh;however scrabble;REJECTED;2026-08-25T08:23:43;2026-08-25T08:56:45;singing divine;well-off;2026-08-25T07:36:36;5412;kno
28;however before taxicab;hm or besides;PROFESSIONAL;owlishly cinch excepting;ugh;dereference;RESOLVED;2026-08-25T13:35:04;2026-08-25T11:10:59;unearth massage;readily;2026-08-25T10:02:11;10309;ew
29;instead yuck;worst;PROFESSIONAL;while eek however;shaft repeat abaft;ordinary chainstay or;RESOLVED;2026-08-25T16:44:40;2026-08-25T06:56:37;spiffy;cautiously;2026-08-25T00:52:27;25604;mon
30;powerful gadzooks;ugh;PROFESSIONAL;quietly hm usher;quantify;times ethyl;UNDER_REVIEW;2026-08-25T01:44:07;2026-08-25T02:15:48;plus portly;hence wealthy per;2026-08-25T01:02:59;9604;nic
